食物编码,分类编码,食物名称,食物类别,大类名称,子类编码,子类名称,是否常用,是否特色,可食部分(%),水分(g),能量(kcal),能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),胆固醇(mg),灰分(g),维生素A(μgRE),总胡萝卜素(μg),视黄醇(μg),硫胺素(mg),核黄素(mg),烟酸(mg),维生素C(mg),维生素E(mg),α-生育酚(mg),β+γ生育酚(mg),δ-生育酚(mg),钙(mg),磷(mg),钾(mg),钠(mg),镁(mg),铁(mg),锌(mg),硒(μg),铜(mg),锰(mg)
03-1-303,31303,豆腐(南)[南豆腐],3,干豆类及制品,1,大豆,A,F,100,87.9,57,238,6.2,2.5,2.6,0.2,—,0.8,—,—,—,0.02,0.04,1.0,—,3.62,…,1.76,1.86,116,90,154,3.1,36,1.5,0.59,2.62,0.14,0.44
03-1-304,31304,豆腐(内酯),3,干豆类及制品,1,大豆,A,F,100,89.2,49,205,5.0,1.9,3.3,0.4,—,0.6,—,—,—,0.06,0.03,0.3,—,3.26,…,1.12,2.14,17,57,95,6.4,24,0.8,0.55,0.81,0.13,0.26
03-1-305,31305,豆腐脑[老豆腐],3,干豆类及制品,1,大豆,,F,100,96.7,15,63,1.9,0.8,0.0,—,—,0.6,—,—,—,0.04,0.02,0.4,—,10.46,—,—,—,18,5,107,2.8,28,0.9,0.49,Tr,0.26,0.25
03-1-401,31401,豆浆,3,干豆类及制品,1,大豆,A,F,100,96.4,14,59,1.8,0.7,1.1,1.1,—,0.2,15,90,—,0.02,0.02,0.1,—,0.80,…,0.48,0.32,10,30,48,3.0,9,0.5,0.24,0.14,0.07,0.09
03-1-502,31502,豆腐丝(干),3,干豆类及制品,1,大豆,,,100,7.4,451,1887,57.7,22.8,3.7,Tr,—,8.4,—,—,—,0.30,0.60,—,—,7.80,—,—,—,5,74,7,110.0,—,1.3,3.59,2.72,0.26,2.40
03-1-503,31503,豆腐丝(油),3,干豆类及制品,1,大豆,A,,100,38.2,300,1255,24.2,17.1,14.5,2.2,—,6.0,3,20,—,0.02,0.09,1.8,—,17.80,1.78,10.21,5.81,152,423,208,769.4,93,5.0,2.98,6.10,0.27,1.37
03-1-505,31505,豆腐皮,3,干豆类及制品,1,大豆,A,F,100,16.5,409,1711,44.6,17.4,18.8,0.2,—,2.7,—,—,—,0.31,0.11,1.5,—,20.63,1.12,5.95,13.56,116,318,536,9.4,111,13.9,3.81,2.26,1.86,3.51
03-1-506,31506,油豆腐,3,干豆类及制品,1,大豆,A,F,100,58.8,244,1021,17.0,17.6,4.9,0.6,—,1.7,5,30,—,0.05,0.04,0.3,—,24.70,1.89,14.28,8.53,147,238,158,32.5,72,5.2,2.03,0.63,0.30,1.38
03-1-507,31507,腐竹,3,干豆类及制品,1,大豆,A,F,100,7.9,459,1920,44.6,21.7,22.3,1.0,—,3.5,—,—,—,0.13,0.07,0.8,—,27.84,1.43,19.13,7.28,77,284,553,26.5,71,16.5,3.69,6.65,1.31,2.55
03-1-509,31509,千张[百页],3,干豆类及制品,1,大豆,A,F,100,52.0,260,1088,24.5,16.0,5.5,1.0,—,2.0,5,30,—,0.04,0.05,0.2,—,23.38,0.94,10.42,12.02,313,309,94,20.6,80,6.4,2.52,1.75,0.46,1.96
03-1-513,31513,豆腐干(酱油干),3,干豆类及制品,1,大豆,,,100,70.2,156,653,14.9,9.1,4.0,0.3,—,1.8,—,—,—,0.02,0.03,—,—,16.41,4.57,10.82,1.02,413,188,130,90.3,46,5.9,1.18,—,1.28,1.36
03-1-516,31516,豆腐干(香干),3,干豆类及制品,1,大豆,A,F,100,69.2,151,632,15.8,7.8,5.1,0.8,—,2.1,7,40,—,0.04,0.03,0.3,—,15.85,4.69,10.09,1.07,299,219,99,234.1,88,5.7,1.59,3.15,0.41,1.19
03-1-518,31518,豆腐干(熏干),3,干豆类及制品,1,大豆,A,,100,67.5,153,640,15.8,6.2,8.8,0.3,—,1.7,2,10,—,0.03,0.01,1.0,—,7.03,…,4.04,2.99,173,109,136,232.7,109,3.9,1.80,8.90,0.22,1.05
03-1-520,31520,素大肠,3,干豆类及制品,1,大豆,,,100,63.0,153,640,18.1,3.6,13.0,1.0,—,2.3,—,—,—,0.02,0.02,0.1,—,—,—,—,—,445,249,179,144.7,56,3.8,4.03,—,1.06,1.14
03-1-521,31521,素火腿,3,干豆类及制品,1,大豆,,F,100,55.0,211,883,19.1,13.2,4.8,0.9,—,7.9,—,—,—,0.01,0.03,0.1,—,25.99,4.17,21.82,…,8,115,24,675.9,25,7.3,1.96,3.18,0.16,1.57
03-1-522,31522,素鸡,3,干豆类及制品,1,大豆,A,F,100,64.3,192,803,16.5,12.5,4.2,0.9,—,2.5,10,60,—,0.02,0.03,0.4,—,17.80,0.69,6.64,10.47,319,180,42,373.8,61,5.3,1.74,6.73,0.27,1.12
03-1-524,31524,素什锦,3,干豆类及制品,1,大豆,A,,100,65.3,173,724,14.0,10.2,8.3,2.0,—,2.2,—,—,—,0.07,0.04,0.5,—,9.51,2.19,4.90,2.42,174,186,143,475.1,45,6.0,1.25,2.80,0.21,1.06
03-2-101,32101,绿豆,3,干豆类及制品,2,绿豆,A,F,100,12.3,316,1322,21.6,0.8,62.0,6.4,—,3.3,22,130,—,0.25,0.11,2.0,—,10.95,…,10.66,0.29,81,337,787,3.2,125,6.5,2.18,4.28,1.08,1.11
03-2-102,32102,绿豆面,3,干豆类及制品,2,绿豆,A,F,100,9.6,330,1381,20.8,0.7,65.8,5.8,—,3.1,15,90,—,0.45,0.12,0.7,—,—,—,—,—,134,304,1055,3.3,—,8.1,2.68,10.58,1.55,—
03-2-201,32201,绿豆饼[饼折],3,干豆类及制品,2,绿豆,,,100,69.7,122,510,15.2,1.2,12.7,—,—,1.2,—,—,—,0.07,0.02,—,—,—,—,—,—,18,25,16,3.1,2,1.0,0.42,—,0.19,0.31
03-3-101,33101,赤小豆[小豆，红小豆],3,干豆类及制品,3,赤豆,A,F,100,12.6,309,1293,20.2,0.6,63.4,7.7,—,3.2,13,80,—,0.16,0.11,2.0,—,14.36,…,6.01,8.35,74,305,860,2.2,138,7.4,2.20,3.80,0.64,1.33
03-3-201,33201,小豆粥,3,干豆类及制品,3,赤豆,,,100,84.4,61,255,1.2,0.4,13.7,0.6,—,0.3,—,—,—,…,…,0.2,—,0.19,…,…,0.19,13,14,45,2.3,17,0.6,0.33,0.50,0.03,0.09
03-3-202,33202,豆沙,3,干豆类及制品,3,赤豆,,,100,39.2,243,1017,5.5,1.9,52.7,1.7,—,0.7,—,—,—,0.03,0.05,0.3,—,4.37,1.05,1.57,1.75,42,68,139,23.5,2,8.0,0.32,0.89,0.13,0.33
03-4-101,34101,花豆(红),3,干豆类及制品,4,芸豆,A,,100,14.8,317,1326,19.1,1.3,62.7,5.5,—,2.1,72,430,—,0.25,—,3.0,—,6.13,—,—,—,38,48,358,12.5,17,0.3,1.27,19.05,0.94,1.22
